24/03/2022 16:22:38.11 [Information] -------------------------------
24/03/2022 16:22:38.12 [Information] *** Begin Prepare ''!
24/03/2022 16:22:38.12 [Information] *** Begin prepare project 'default (1) V1.0.0.0'!
24/03/2022 16:22:46.00 [Information] *** Start preparation of 'default (1)' path 'C:\KRC\User\ProjectRoot\default (1)\default (1).wvs'
24/03/2022 16:22:50.51 [Information] Prepare Installation of project "default (1) V1.0.0.0".
24/03/2022 16:22:50.62 [Information] Current project was "427630_br V1.3.0".
24/03/2022 16:22:51.90 [Information] °°° Begin adding actions for project 'default (1) V1.0.0.0'!
24/03/2022 16:22:52.17 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\SCTLCRC.XML) - Automatic} -> config
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\MotionDrivers\motiondrv.ini) - Automatic, SavedExternal} -> config
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\R1\Mada\machine.upg) - SavedExternal} -> krl
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\R1\Mada\robcor.upg) - SavedExternal} -> krl
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\STEU\Mada\custom.upg) - SavedExternal} -> krl
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\STEU\Mada\machine.upg) - SavedExternal} -> krl
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\STEU\Mada\option.upg) - SavedExternal} -> krl
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest Config:Copy(Config:\User\Common\SafetyConfigData.xml) - SavedExternal} -> safety
24/03/2022 16:22:52.22 [Warning] Element Type changed for {ExternalFileManifest Config:Copy(Config:\User\Common\SCtlPara.sg) - SavedExternal} -> safety
24/03/2022 16:22:52.23 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\SafetyConfigData.xml) - SavedExternal}'
24/03/2022 16:22:52.23 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\SCtlPara.sg) - SavedExternal}'
24/03/2022 16:22:52.23 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\HNFINFO.SAF) - SavedExternal}'
24/03/2022 16:22:52.86 [Information] ° Reboot requested before activation = False
24/03/2022 16:22:52.86 [Information] °°° Begin initialize actions for project 'default (1) V1.0.0.0'!
24/03/2022 16:22:52.88 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\SchedulerAction.BackupAction.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.90 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\Settings.xml), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.90 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\SmartHMI.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.91 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\ProjectExternalFileList.xml), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.91 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\KukaPMService.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.91 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\MaintenanceHandBook.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.92 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\PMService.user.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.92 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\AdvMonitoring\AdvMonitoringConfig.xml), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.92 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\Data\UserAdvMonitoring.kxr), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.93 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\BackupManager.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.93 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\InstallTech.cfg), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.94 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\Cross3.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.94 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\WorkVisualServiceHost.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.94 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\SetupWizardStates.xml), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.95 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\WaitForUserList.xml), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.95 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\InitialProjectSetup.User.config), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.96 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\ConfigMon.ini), 1500, 0'. MD5 check is identical!
24/03/2022 16:22:52.96 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Supply\KPP_400V_10.xml), 2000, 0'.
24/03/2022 16:22:52.97 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NextGenDriveTech.xml), 2000, 0'.
24/03/2022 16:22:52.97 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Servofile\S_KPP_400V_10.xml), 2000, 0'.
24/03/2022 16:22:52.97 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MotionDrivers\mdrBrakeTest.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:52.98 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Supply\KPP_sr400-244V_15.xml), 2000, 0'.
24/03/2022 16:22:52.98 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\EAWaggonDriverConfig.xml), 2000, 0'.
24/03/2022 16:22:52.99 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\LDP.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:52.99 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\CabCtrl.xml), 2000, 0'.
24/03/2022 16:22:53.00 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\CFCore.xml), 2000, 0'.
24/03/2022 16:22:53.00 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\MMAxisAdapter.xml), 2000, 0'.
24/03/2022 16:22:53.00 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Cabinet\NGSharedO.xml), 2000, 0'.
24/03/2022 16:22:53.01 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\CFCoreWaggonDriverConfig.xml), 2000, 0'.
24/03/2022 16:22:53.01 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MotionDrivers\MdlCtlDataDrv.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.01 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\Modules_TimeSync.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.02 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\SysBusDriver.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.03 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\Modules_SysBusDriver.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.03 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\SCTLCRC.XML), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.03 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\TimeSyncBase.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.03 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\TimeSync.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.06 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\CtrlGainTab.bin), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.07 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\motiondrv.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.07 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MotionDrivers\motiondrv.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.07 [Information] [copy]	Action Requests reconfiguration: 'New:config.copy(Config:\User\Common\KNet.xml), 2000, 0'.
24/03/2022 16:22:53.08 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\connectionchain.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.09 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\PersistPC\NGDecouple.xml), 2000, 0'.
24/03/2022 16:22:53.09 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA5AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.09 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA5.xml), 2000, 0'.
24/03/2022 16:22:53.10 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A4.xml), 2000, 0'.
24/03/2022 16:22:53.10 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA6AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.11 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA6.xml), 2000, 0'.
24/03/2022 16:22:53.11 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A5.xml), 2000, 0'.
24/03/2022 16:22:53.11 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Motor\M_SSR5-AKM22-11_KSPsr5_244V_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.12 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A3.xml), 2000, 0'.
24/03/2022 16:22:53.12 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA3AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.12 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA4AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.13 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA4.xml), 2000, 0'.
24/03/2022 16:22:53.13 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\ServoFile\S_SSR5-AKM22-11_KSPsr5_244V_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.13 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A6.xml), 2000, 0'.
24/03/2022 16:22:53.14 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE3.xml), 2000, 0'.
24/03/2022 16:22:53.14 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\E2.xml), 2000, 0'.
24/03/2022 16:22:53.15 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE2AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.15 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Servofile\S_KPP_sr400-244V_15.xml), 2000, 0'.
24/03/2022 16:22:53.15 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\E3.xml), 2000, 0'.
24/03/2022 16:22:53.16 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE3AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.16 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE1.xml), 2000, 0'.
24/03/2022 16:22:53.16 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\ServoFile\S_G1_KSP40_400V_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.17 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Motor\M_G1_KSP40_400V_V1.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.17 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE2.xml), 2000, 0'.
24/03/2022 16:22:53.17 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\E1.xml), 2000, 0'.
24/03/2022 16:22:53.28 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE1AddFct.xml), 2000, 0'.
24/03/2022 16:22:53.38 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\AsyncDataToKrl.xml), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.38 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrConveyor.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.39 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrBrakeTest.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.39 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\loadDataDevice.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.40 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrSignalMonitor.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.40 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrJointOffset.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.40 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrEmily.ini), 2000, 0'. MD5 check is identical!
24/03/2022 16:22:53.41 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A3.xml), 2000, 0'. MD5 check is identical!
