23/03/2022 17:14:38.45 [Information] -------------------------------
23/03/2022 17:14:38.49 [Information] *** Begin Prepare ''!
23/03/2022 17:14:38.49 [Information] *** Begin prepare project 'default (1) V1.0.0.0'!
23/03/2022 17:14:49.63 [Information] *** Start preparation of 'default (1)' path 'C:\KRC\User\ProjectRoot\default (1)\default (1).wvs'
23/03/2022 17:14:56.05 [Information] Prepare Installation of project "default (1) V1.0.0.0".
23/03/2022 17:14:56.05 [Information] Current project was "427630_br V1.0.0".
23/03/2022 17:14:56.21 [Information] °°° Begin adding actions for project 'default (1) V1.0.0.0'!
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\SCTLCRC.XML) - Automatic} -> config
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest Safety:Copy(Config:\User\Common\MotionDrivers\motiondrv.ini) - Automatic, SavedExternal} -> config
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\R1\Mada\machine.upg) - SavedExternal} -> krl
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\R1\Mada\robcor.upg) - SavedExternal} -> krl
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\STEU\Mada\custom.upg) - SavedExternal} -> krl
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\STEU\Mada\machine.upg) - SavedExternal} -> krl
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest File:Copy(KRC:\STEU\Mada\option.upg) - SavedExternal} -> krl
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest Config:Copy(Config:\User\Common\SafetyConfigData.xml) - SavedExternal} -> safety
23/03/2022 17:14:56.29 [Warning] Element Type changed for {ExternalFileManifest Config:Copy(Config:\User\Common\SCtlPara.sg) - SavedExternal} -> safety
23/03/2022 17:14:56.31 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\SafetyConfigData.xml) - SavedExternal}'
23/03/2022 17:14:56.31 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\SCtlPara.sg) - SavedExternal}'
23/03/2022 17:14:56.31 [Information] SafetyHandler ignores element: '{ExternalFileManifest safety:Copy(Config:\User\Common\HNFINFO.SAF) - SavedExternal}'
23/03/2022 17:14:57.48 [Information] ° Reboot requested before activation = False
23/03/2022 17:14:57.58 [Information] °°° Begin initialize actions for project 'default (1) V1.0.0.0'!
23/03/2022 17:14:57.61 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\Settings.xml), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.72 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\SmartHMI.User.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.82 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\ProjectExternalFileList.xml), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.83 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\KukaPMService.User.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.83 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\MaintenanceHandBook.User.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.83 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\PMService.user.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.84 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\InstallTech.cfg), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.84 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\AdvMonitoring\AdvMonitoringConfig.xml), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.84 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\Data\UserAdvMonitoring.kxr), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.85 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\SetupWizardStates.xml), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.85 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\WaitForUserList.xml), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:57.86 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\Cross3.User.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:58.01 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\WorkVisualServiceHost.User.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:58.11 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\InitialProjectSetup.User.config), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:58.11 [Information] [Copy]	Action ignore: 'New:file.Copy(C:\KRC\User\ConfigMon.ini), 1500, 0'. MD5 check is identical!
23/03/2022 17:14:58.12 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\CabCtrl.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.12 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\LDP.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.13 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Cabinet\NGSharedO.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.13 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MotionDrivers\mdrBrakeTest.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.13 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MotionDrivers\MdlCtlDataDrv.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.13 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NextGenDriveTech.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.14 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Supply\KPP_400V_10.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.14 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Servofile\S_KPP_400V_10.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.70 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MMAxisAdapter.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.77 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\EAWaggonDriverConfig.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.81 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\CFCore.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.81 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\CFCoreWaggonDriverConfig.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.82 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\Modules_SysBusDriver.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.82 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\SysBusDriver.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.83 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\Modules_TimeSync.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.83 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\PersistPC\NGDecouple.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.83 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\connectionchain.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.84 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\KNet.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:58.84 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\motiondrv.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.07 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\CtrlGainTab.bin), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.17 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\MotionDrivers\motiondrv.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.18 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\TimeSync.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.18 [Information] [copy]	Action ignore: 'New:config.copy(Config:\User\Common\TimeSyncBase.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.18 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\SCTLCRC.XML), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.19 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Supply\KPP_sr400-244V_15.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.19 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A5.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.19 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA5AddFct.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.20 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA5.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.20 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A6.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.20 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA6AddFct.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.21 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA6.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.31 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\ServoFile\S_SSR5-AKM22-11_KSPsr5_244V_V1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.42 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Motor\M_SSR5-AKM22-11_KSPsr5_244V_V1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.42 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A3.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.42 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\A4.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.43 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA4AddFct.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.43 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlA4.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.43 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE3.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.44 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\E2.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.44 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE2AddFct.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.44 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Servofile\S_KPP_sr400-244V_15.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.45 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\E3.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.45 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE3AddFct.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.49 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.49 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\ServoFile\S_G1_KSP40_400V_V1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.49 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Motor\M_G1_KSP40_400V_V1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.50 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE2.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.50 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\E1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.50 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\NGAxis\CtrlE1AddFct.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.51 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\AsyncDataToKrl.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.51 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrConveyor.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.52 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrBrakeTest.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.52 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\loadDataDevice.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.53 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrSignalMonitor.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.53 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrJointOffset.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.54 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\MotionDrivers\mdrEmily.ini), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.54 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A3.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.54 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A2.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.55 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A1.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.55 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A6.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.55 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A5.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.55 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Common\Mada\SimuAxis\A4.xml), 2000, 0'. MD5 check is identical!
23/03/2022 17:14:59.56 [Information] [Copy]	Action Requests reconfiguration: 'New:config.Copy(Config:\User\KrlModSize.bin), 2000, 0'.
23/03/2022 17:14:59.56 [Information] [Copy]	Action ignore: 'New:config.Copy(Config:\User\Office\PersistRDC\Readme.txt), 2000, 0'. MD5 check is identical!
